0,0,0,0,0,44,44,44,44,44,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1,2,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2,2,2,2,3
11,83,83,83,83,83,83,83,83,83,83,83,83,39,40,83,83,83,83,83,83,83,83,83,83,83,83,13
11,83,24,25,25,26,83,24,25,25,25,26,83,39,40,83,24,25,25,25,26,83,24,25,25,26,83,13
11,76,39,0,0,40,83,39,0,0,0,40,83,39,40,83,39,0,0,0,40,83,39,0,0,40,76,13
11,83,34,35,35,36,83,34,35,35,35,36,83,34,36,83,34,35,35,35,36,83,34,35,35,36,83,13
11,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,13
11,83,24,25,25,26,83,24,26,83,29,25,25,25,25,25,25,30,83,24,26,83,24,25,25,26,83,13
11,83,34,35,35,36,83,39,40,83,49,35,35,28,27,35,35,50,83,39,40,83,34,35,35,36,83,13
11,83,83,83,83,83,83,39,40,83,83,83,83,39,40,83,83,83,83,39,40,83,83,83,83,83,83,13
21,22,22,22,22,26,83,39,37,25,25,30,0,39,40,0,24,25,25,38,40,83,4,22,22,22,22,23
44,0,0,0,44,11,83,39,27,35,35,50,0,49,50,0,34,35,35,28,40,83,13,0,0,0,45,47
44,0,0,0,44,11,83,39,40,0,0,0,0,0,0,0,0,0,0,39,40,83,13,0,0,0,45,47
44,0,0,0,0,11,83,39,40,0,31,32,32,32,32,32,32,33,0,39,40,83,13,0,0,0,45,45
2,2,2,2,2,15,83,49,50,0,41,0,0,0,48,48,0,43,0,34,36,83,14,2,2,2,2,2
0,0,0,0,0,0,83,0,0,0,41,0,0,48,48,48,0,43,0,0,0,83,0,0,0,0,0,0
22,22,22,22,22,5,83,24,26,0,41,0,0,0,0,0,0,43,0,24,26,83,4,22,22,22,22,22
45,45,45,45,45,11,83,39,40,0,51,52,52,52,52,52,52,53,0,39,40,83,13,48,48,48,48,48
47,0,0,0,45,11,83,39,40,0,0,0,0,0,0,0,0,0,0,39,40,83,13,0,0,45,48,48
47,0,0,0,0,11,83,39,40,0,24,25,25,25,25,25,25,26,0,39,40,83,13,0,0,45,45,48
1,2,2,2,2,15,83,34,36,0,34,35,35,28,27,35,35,36,0,34,36,83,14,2,2,2,2,3
11,83,83,83,83,83,83,83,83,83,83,83,83,39,40,83,83,83,83,83,83,83,83,83,83,83,83,13
11,83,24,25,25,26,83,24,25,25,25,26,83,39,40,83,24,25,25,25,26,83,24,25,25,26,83,13
11,83,34,35,28,40,83,34,35,35,35,36,83,34,36,83,34,35,35,35,36,83,39,27,35,36,83,13
11,76,83,83,39,40,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,39,40,83,83,76,13
18,25,30,83,39,40,83,24,26,83,24,25,25,25,25,25,25,26,83,24,26,83,39,40,83,24,25,19
8,35,50,83,49,50,83,39,40,83,34,35,35,28,27,35,35,36,83,39,40,83,34,36,83,34,35,9
11,83,83,83,83,83,83,39,40,83,83,83,83,39,40,83,83,83,83,39,40,83,83,83,83,83,83,13
11,83,24,25,25,25,25,38,37,25,25,26,83,39,40,83,24,25,25,38,37,25,25,25,25,26,83,13
11,83,34,35,35,35,35,35,35,35,35,36,83,34,36,83,34,35,35,35,35,35,35,35,35,36,83,13
11,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,13
21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23
44,0,0,0,57,57,57,57,57,0,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,44
44,0,0,0,0,0,57,57,57,57,57,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,44
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
